AA Gem       9.735 0.008              7.647 0.011 7.206 0.010 7.069 0.020 M11
AC Mon      10.100 0.016  8.708 0.012 7.590 0.013 7.072 0.011 6.867 0.012 M11
AD Gem                                8.453 0.006 8.154 0.006 8.043 0.007 B97, M11
AD Pup       9.898 0.006  8.716 0.006
AE Vel      10.257 0.009  8.730 0.007
AG Cru       8.228 0.006  7.346 0.006
AP Pup       7.385 0.006  6.463 0.006
AP Sgr       6.967 0.006  6.053 0.006
AQ Car       8.892 0.023  7.895 0.020
AQ Pup       8.690 0.006  7.153 0.006 6.000 0.006 5.484 0.008 5.256 0.009 L92
AS Per                                6.941 0.014 6.482 0.007 6.279 0.017 M11
AT Pup       7.985 0.006  7.080 0.006
AV Sgr      11.331 0.021  8.851 0.013
AW Per       7.473 0.140              5.222 0.010 4.836 0.009 4.676 0.010 M11
AX Cir       5.887 0.006  4.987 0.006
AY Cas      11.543 0.024
AY Cen       8.818 0.006  7.701 0.006
AY Sgr      10.559 0.012  8.729 0.009 7.140 0.008 6.534 0.010 6.282 0.016 M11
BB Her      10.093 0.007  8.941 0.010
BB Sgr       6.952 0.006  5.848 0.006 5.025 0.006 4.643 0.007 4.496 0.008 L92, W84
BE Mon      10.574 0.008  9.243 0.008 8.265 0.014 7.857 0.011 7.701 0.024 M11
BF Oph       7.342 0.006  6.367 0.006 5.626 0.008 5.298 0.007 5.147 0.009 L92, W84
BG Lac       8.897 0.006  7.811 0.014 7.023 0.006 6.655 0.006 6.500 0.006 B97, M11
BG Vel       7.653 0.006  6.342 0.006
BK Aur       9.445 0.015              7.300 0.015 6.890 0.019 6.735 0.021 M11
BM Per      10.428 0.028              6.680 0.015 6.007 0.012 5.724 0.018 M11
BM Pup      10.846 0.006  9.414 0.006
BN Pup       9.907 0.016  8.585 0.020 7.534 0.008 7.079 0.009 6.880 0.008 L92
BP Cas      10.951 0.021
BZ Cyg      10.221 0.006  8.327 0.018 6.774 0.014 6.153 0.010 5.879 0.014 M11
{beta} Dor   3.737 0.006  2.939 0.006 2.365 0.006 2.038 0.006 1.925 0.006 F08, L92
CD Cas      10.782 0.009              7.644 0.006 7.093 0.012 6.878 0.012 M11
CD Cyg       8.963 0.009  7.498 0.028 6.363 0.015 5.853 0.012 5.668 0.011 W84, M11
CE Pup      11.832 0.010  9.968 0.007
CF Cas      11.138 0.006  9.756 0.012 8.606 0.010 8.136 0.012 7.923 0.012 W84, M11
CG Cas      11.378 0.010
CK Sct                                7.393 0.006 6.822 0.010 6.610 0.014 M11
CN Car      10.684 0.008  9.355 0.009
CP Cep      10.588 0.012  8.766 0.024 7.348 0.010 6.726 0.012 6.492 0.012 M11
CR Cep       9.646 0.008  7.979 0.020 6.654 0.006 6.101 0.007 5.890 0.007 M11
CR Ser      10.857 0.009  8.899 0.026 7.353 0.007 6.763 0.007 6.503 0.012 M11
CS Mon      11.005 0.006  9.651 0.006
CS Ori      11.399 0.037 10.261 0.019 9.341 0.011 8.960 0.009 8.810 0.017 M11
CS Vel      11.702 0.007 10.069 0.007 8.735 0.010 8.228 0.014 7.973 0.011 L92, W84
CV Mon      10.291 0.006  8.645 0.006 7.323 0.011 6.790 0.007 6.545 0.007 L92, W84, M11
CY Car       9.755 0.007  8.712 0.006
CY Cas      11.643 0.020              7.876 0.028 7.180 0.018 6.915 0.023 M11
CZ Cas      11.752 0.009 10.059 0.021
DD Cas       9.888 0.007  8.561 0.025 7.537 0.008 7.073 0.011 6.909 0.014 M11
DF Cas      10.879 0.006
DL Cas       8.971 0.006              6.560 0.014 6.106 0.011 5.912 0.015 W84, M11
DW Per      11.577 0.008
{delta} Cep  3.930 0.010              2.676 0.006 2.393 0.006 2.291 0.006 F08, B97
EK Mon      11.062 0.006  9.617 0.006
ER Car       6.828 0.006  5.961 0.006
EX Vel      11.573 0.007  9.775 0.006
EY Car      10.359 0.010  9.260 0.008
Eta Aql      3.878 0.006  3.024 0.006 2.386 0.006 2.067 0.006 1.951 0.006 B97, W84
FI Car      11.626 0.010  9.855 0.009
FM Aql       8.278 0.006  6.780 0.010 5.681 0.006 5.217 0.006 5.026 0.006 B97, W84, M11
FN Aql       8.383 0.006  6.992 0.006 5.965 0.006 5.495 0.006 5.315 0.006 B97, W84, M11
FN Vel      10.303 0.006  8.830 0.007
GH Cyg       9.904 0.006  8.432 0.011 7.262 0.011 6.804 0.006 6.598 0.016 M11
GI Cyg      11.745 0.012
GQ Ori       8.965 0.011  7.885 0.007
GU Nor      10.354 0.006  8.799 0.007
GX Car       9.344 0.009  8.137 0.006
GY Sge      10.163 0.006              5.604 0.008 4.887 0.007 4.546 0.006 L92, W84
HW Car       9.136 0.006  8.028 0.006
IQ Nor       9.665 0.019  8.115 0.020
IT Car       8.102 0.006  7.070 0.006
KK Cen      11.452 0.036  9.934 0.026
