Sun              0.66 -26.78   25.38 1a  27.37 1b  -6.23 1.09
DK Leo     20.41 1.37   9.3     7.98  2  28.90  2  -3.96 0.82
GL 83.1     4.48 1.80  12.28  < 0.52  3  27.33  3  -3.72 0.31
G 99-49     5.38 1.68  11.33  < 0.50  3  28.01  3  -3.41 0.42
G 165-08    7.94 1.57  11.45  < 0.28  3  28.31  3  -3.19 0.48
GL 166C     4.85 1.67  11.17  < 2.11  3  28.02  3  -3.41 0.41
GL 182     26.67 1.37   9.6     1.86  2  29.00  2  -3.96 0.84
G 188-38    8.96 1.72  11.99  < 0.52  3  28.44  3  -3.14 0.45
GL 234A     4.12 1.71  11.12  < 0.39  3  27.75  3  -3.62 0.39
GL 285      5.93 1.59  11.2     2.78  2  28.50  2  -3.23 0.44
GL 338B     6.27 1.42   7.64  <10.17  3  27.51  3  -4.90 0.75
GL 380      4.87 1.36   6.60  <11.67  3  27.45  3  -5.04 0.79
GL 388      4.69 1.54   9.4     2.60  2  28.30  2  -3.61 0.55
GL 490     18.09 1.42  10.6     3.17  2  28.90  2  -3.41 0.69
GL 493.1    8.13 1.75  13.40  < 0.21  3  27.92  3  -3.21 0.33
GL 494     11.43 1.44   9.8     1.54  2  29.00  2  -3.25 0.68
GL 551      1.30 1.90  11.05   42.00  4  27.04  5  -3.78 0.22
GL 673      7.72 1.36   7.54  <11.94  3  27.64  3  -4.96 0.79
GL 685     14.09 1.45   9.9    18.60  2  27.40  2  -4.92 0.71
GL 791.2    8.70 1.65  13.05  < 0.32  3  27.88  3  -3.43 0.36
GL 860B     4.03 1.62   9.59  < 0.41  3  27.38  3  -3.70 0.51
GL 873      5.05 1.60  10.2     4.38  2  28.60  2  -3.12 0.50
GL 875     14.00 1.48   9.85    1.60  2  29.00  2  -3.29 0.71
GL 890     21.86 1.41  10.6     0.43  2  29.00  2  -3.37 0.73
GL 896B     6.24 1.65  12.40  < 0.20  3  28.62  3  -2.58 0.36
GJ 1154A    8.40 1.77  13.73  < 0.65  3  27.77  3  -3.28 0.31
GJ 1156     6.54 1.88  13.81  < 0.87  3  27.65  3  -3.39 0.26
HD 1835    20.39 0.66   6.4     7.70  2  28.90  2  -4.67 1.08
LHS 3376    7.30 1.83  13.48  < 0.22  3  27.30  3  -3.64 0.30
HD 3651    11.11 0.85   5.9    48.00  2  27.60  2  -5.70 1.00
HD 4628     7.46 0.88   5.8    38.00  2  27.00  2  -6.01 0.93
HD 10360    8.15 0.88   5.76   30.00  6  27.13  7  -5.97 0.95
HD 10361    8.13 0.86   5.81   39.00  6  27.13  7  -5.94 0.95
HD 10476    7.47 0.84   5.2    35.20  6  26.64  8  -6.59 0.98
HD 10700    3.65 0.72   3.5    34.50  6  27.04  9  -6.21 1.00
HD 11507   11.09 1.43   8.8    15.80  2  27.70  2  -4.76 0.75
HD 13445   10.91 0.82   6.17   30.00  6  27.61  9  -5.56 0.97
HD 14802   21.93 0.60   5.19    9.00  6  29.60  9  -4.50 1.22
HD 16160    7.21 0.97   5.8    45.00  2  27.30  2  -5.71 0.92
HD 16673   21.54 0.52   5.8     7.40  2  28.80  2  -5.03 1.15
HD 17051   17.24 0.56   5.4     7.90  6  28.78  9  -5.02 1.15
HD 17925   10.38 0.87   6.0     6.60  2  28.70  2  -4.51 0.98
HD 20630    9.16 0.68   4.8     9.40  2  28.90  2  -4.62 1.07
HD 22049    3.22 0.88   3.7    11.30  2  28.20  2  -4.92 0.95
HD 25998   21.34 0.52   5.5     3.00  6  29.54  9  -4.40 1.18
HD 26913   20.89 0.70   6.96    7.20  6  29.20  9  -4.18 1.03
HD 26965    5.04 0.82   4.41   37.10  6  27.61  9  -5.59 0.98
HD 30495   13.32 0.64   5.5     7.60  2  28.70  2  -4.86 1.08
HD 32147    8.81 1.06   6.22   47.40  6  27.18  9  -5.87 0.92
HD 35296   14.66 0.53   5.0     5.00  2  29.30  2  -4.52 1.15
HD 36435   19.57 0.78   7.01   11.20  6  28.43 10  -4.90 1.01
HD 36705   14.94 0.83   6.6     0.51  2  30.30  2  -2.97 0.99
HD 38392    8.97 0.94   6.15   17.30  6  28.27  9  -4.77 0.93
HD 39587    8.66 0.59   4.4     5.20  2  29.10  2  -4.51 1.10
HD 42807   18.12 0.66   6.5     7.80  2  28.60  2  -4.83 1.04
HD 43834   10.15 0.72   5.09   32.00  6  27.46  9  -6.05 1.06
HD 52698   14.62 0.90   6.71   26.00  6  28.49 10  -4.74 0.98
HD 53143   18.41 0.81   6.81   16.40  6  28.69 10  -4.67 1.02
HD 72905   14.27 0.62   5.6     4.10  2  29.10  2  -4.47 1.08
HD 75332   28.69 0.52   6.22    4.00  6  29.56  9  -4.35 1.17
HD 76151   17.09 0.67   6.0    15.00  6  28.34  9  -5.24 1.08
HD 78366   19.14 0.60   5.9     9.70  6  28.95  9  -4.75 1.12
HD 81809   31.24 0.64   5.38   40.20  6  28.10  9  -6.25 1.29
